periodo;regiao_ars;ano;mes;ano_mes;estado_ano;episodios_urgencia;prioridade_verde_azul;taxa_internamento;tempo_medio_espera;tipo_agregacao
2016-11-22;ARS Alentejo;2016;11;2016-11;parcial;1269.0;41.56142;12.97359;45.52153;regional
2016-11-22;ARS Algarve;2016;11;2016-11;parcial;770.0;37.66234;8.051948;36.62561;regional
2016-11-22;ARS Centro;2016;11;2016-11;parcial;3234.0;36.05346;9.228188;54.94587;regional
2016-11-22;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;6506.0;48.25572;7.839781;76.21513;regional
2016-11-22;ARS Norte;2016;11;2016-11;parcial;6135.0;36.66334;8.655953;50.85679;regional
2016-11-22;Portugal Continental;2016;11;2016-11;parcial;17914.0;41.07761;8.670556;59.74539;nacional
2016-11-23;ARS Alentejo;2016;11;2016-11;parcial;1321.0;43.74282;8.610792;52.30456;regional
2016-11-23;ARS Algarve;2016;11;2016-11;parcial;752.0;34.30851;7.845745;59.78517;regional
2016-11-23;ARS Centro;2016;11;2016-11;parcial;3121.0;35.73001;8.967391;62.54546;regional
2016-11-23;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;6291.0;47.03039;8.304195;67.5856;regional
2016-11-23;ARS Norte;2016;11;2016-11;parcial;5857.0;37.29804;9.297559;46.02711;regional
2016-11-23;Portugal Continental;2016;11;2016-11;parcial;17342.0;40.77323;8.764533;58.20954;nacional
2016-11-24;ARS Alentejo;2016;11;2016-11;parcial;1257.0;44.21053;11.34503;39.02278;regional
2016-11-24;ARS Algarve;2016;11;2016-11;parcial;667.0;34.93253;7.796102;33.00262;regional
2016-11-24;ARS Centro;2016;11;2016-11;parcial;3025.0;33.84558;8.638464;56.37184;regional
2016-11-24;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;6141.0;47.09723;8.334867;79.58656;regional
2016-11-24;ARS Norte;2016;11;2016-11;parcial;5428.0;33.79707;7.904976;53.68818;regional
2016-11-24;Portugal Continental;2016;11;2016-11;parcial;16518.0;39.38221;8.40101;61.85072;nacional
2016-11-25;ARS Alentejo;2016;11;2016-11;parcial;1143.0;43.96887;9.365994;34.14286;regional
2016-11-25;ARS Algarve;2016;11;2016-11;parcial;648.0;34.41358;9.256198;43.97436;regional
2016-11-25;ARS Centro;2016;11;2016-11;parcial;2770.0;35.75021;7.061144;44.24533;regional
2016-11-25;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5749.0;45.68345;8.750485;69.44801;regional
2016-11-25;ARS Norte;2016;11;2016-11;parcial;5349.0;34.33117;9.606987;55.77663;regional
2016-11-25;Portugal Continental;2016;11;2016-11;parcial;15659.0;39.44028;8.763776;56.78054;nacional
2016-11-26;ARS Alentejo;2016;11;2016-11;parcial;1049.0;41.85022;10.57269;25.5976;regional
2016-11-26;ARS Algarve;2016;11;2016-11;parcial;531.0;38.41808;11.98044;41.19616;regional
2016-11-26;ARS Centro;2016;11;2016-11;parcial;2747.0;34.60899;9.797168;48.6434;regional
2016-11-26;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5494.0;42.79852;9.294354;56.29916;regional
2016-11-26;ARS Norte;2016;11;2016-11;parcial;5270.0;34.95888;10.35885;53.4691;regional
2016-11-26;Portugal Continental;2016;11;2016-11;parcial;15091.0;38.23951;9.896441;51.69221;nacional
2016-11-27;ARS Alentejo;2016;11;2016-11;parcial;1200.0;45.8231;8.108109;36.69608;regional
2016-11-27;ARS Algarve;2016;11;2016-11;parcial;585.0;36.75214;10.11236;36.5216;regional
2016-11-27;ARS Centro;2016;11;2016-11;parcial;2867.0;35.37387;8.372642;42.60436;regional
2016-11-27;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5486.0;43.84072;6.907029;71.06069;regional
2016-11-27;ARS Norte;2016;11;2016-11;parcial;5337.0;36.75472;7.952204;50.90823;regional
2016-11-27;Portugal Continental;2016;11;2016-11;parcial;15475.0;39.57557;7.746839;55.01992;nacional
2016-11-28;ARS Alentejo;2016;11;2016-11;parcial;1477.0;39.3628;11.08597;50.77801;regional
2016-11-28;ARS Algarve;2016;11;2016-11;parcial;735.0;34.96599;9.032258;66.3531;regional
2016-11-28;ARS Centro;2016;11;2016-11;parcial;3562.0;32.88548;7.209847;61.08797;regional
2016-11-28;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;7360.0;46.99542;7.491608;87.65585;regional
2016-11-28;ARS Norte;2016;11;2016-11;parcial;6876.0;37.35893;7.823293;61.52341;regional
2016-11-28;Portugal Continental;2016;11;2016-11;parcial;20010.0;40.15193;7.78751;70.24299;nacional
2016-11-29;ARS Alentejo;2016;11;2016-11;parcial;1377.0;40.91392;10.47059;48.20518;regional
2016-11-29;ARS Algarve;2016;11;2016-11;parcial;673.0;38.33581;12.79621;52.08116;regional
2016-11-29;ARS Centro;2016;11;2016-11;parcial;3418.0;34.64724;9.566369;56.68801;regional
2016-11-29;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;6924.0;46.6625;8.4498;89.89584;regional
2016-11-29;ARS Norte;2016;11;2016-11;parcial;6291.0;35.3073;8.002736;69.93185;regional
2016-11-29;Portugal Continental;2016;11;2016-11;parcial;18683.0;39.81942;8.713186;72.72624;nacional
2016-11-30;ARS Alentejo;2016;11;2016-11;parcial;1301.0;44.40518;10.83628;41.69976;regional
2016-11-30;ARS Algarve;2016;11;2016-11;parcial;783.0;39.4636;7.535121;75.8699;regional
2016-11-30;ARS Centro;2016;11;2016-11;parcial;3056.0;35.8898;9.02439;54.5773;regional
2016-11-30;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;6282.0;46.48996;8.851596;68.69556;regional
2016-11-30;ARS Norte;2016;11;2016-11;parcial;6119.0;36.35017;9.62433;59.93829;regional
2016-11-30;Portugal Continental;2016;11;2016-11;parcial;17541.0;40.63177;9.189857;62.11633;nacional
2016-12-01;ARS Alentejo;2016;12;2016-12;parcial;1141.0;41.52431;9.855453;51.08625;regional
2016-12-01;ARS Algarve;2016;12;2016-12;parcial;688.0;37.64535;11.5917;45.06845;regional
2016-12-01;ARS Centro;2016;12;2016-12;parcial;2931.0;35.7391;8.48816;52.7556;regional
2016-12-01;ARS Lisboa e Vale do Tejo;2016;12;2016-12;parcial;5995.0;46.81118;7.717602;61.13207;regional
2016-12-01;ARS Norte;2016;12;2016-12;parcial;5694.0;35.6928;7.966168;59.44159;regional
2016-12-01;Portugal Continental;2016;12;2016-12;parcial;16449.0;40.14273;8.222904;57.71897;nacional
2016-12-02;ARS Alentejo;2016;12;2016-12;parcial;1360.0;43.13305;8.422301;75.1125;regional
2016-12-02;ARS Algarve;2016;12;2016-12;parcial;656.0;34.60366;7.407407;85.8;regional
2016-12-02;ARS Centro;2016;12;2016-12;parcial;3431.0;37.3369;8.19568;81.13023;regional
2016-12-02;ARS Lisboa e Vale do Tejo;2016;12;2016-12;parcial;6593.0;46.69749;8.082006;85.64519;regional
2016-12-02;ARS Norte;2016;12;2016-12;parcial;6544.0;36.56129;8.610772;62.06499;regional
2016-12-02;Portugal Continental;2016;12;2016-12;parcial;18584.0;40.56549;8.282567;75.44713;nacional
2016-12-03;ARS Alentejo;2016;12;2016-12;parcial;1152.0;38.43283;9.701492;35.40633;regional
2016-12-03;ARS Algarve;2016;12;2016-12;parcial;649.0;34.51464;8.401977;50.35128;regional
2016-12-03;ARS Centro;2016;12;2016-12;parcial;2768.0;34.15435;9.156338;47.15318;regional
2016-12-03;ARS Lisboa e Vale do Tejo;2016;12;2016-12;parcial;5608.0;47.24832;8.450148;61.13543;regional
2016-12-03;ARS Norte;2016;12;2016-12;parcial;5500.0;36.12727;8.666805;57.52437;regional
2016-12-03;Portugal Continental;2016;12;2016-12;parcial;15677.0;39.82471;8.724638;55.41006;nacional
2016-12-04;ARS Alentejo;2016;12;2016-12;parcial;1224.0;38.70588;10.47059;49.36364;regional
2016-12-04;ARS Algarve;2016;12;2016-12;parcial;595.0;40.33614;10.13216;30.67931;regional
2016-12-04;ARS Centro;2016;12;2016-12;parcial;2994.0;36.39937;8.339739;51.38935;regional
2016-12-04;ARS Lisboa e Vale do Tejo;2016;12;2016-12;parcial;6008.0;46.08229;7.014622;71.39851;regional
2016-12-04;ARS Norte;2016;12;2016-12;parcial;5879.0;34.86459;7.408875;60.91859;regional
2016-12-04;Portugal Continental;2016;12;2016-12;parcial;16700.0;39.60942;7.696594;61.19375;nacional
2016-12-05;ARS Alentejo;2016;12;2016-12;parcial;1575.0;41.24189;8.341057;62.11546;regional
2016-12-05;ARS Algarve;2016;12;2016-12;parcial;867.0;37.94695;7.972973;;regional
2016-12-05;ARS Centro;2016;12;2016-12;parcial;3727.0;39.24321;7.251361;82.3948;regional
2016-12-05;ARS Lisboa e Vale do Tejo;2016;12;2016-12;parcial;7829.0;48.31647;7.312536;94.36218;regional
2016-12-05;ARS Norte;2016;12;2016-12;parcial;7155.0;36.93782;7.912644;71.59351;regional
